S_Log_All_Crisis_Yes,S_Log_Exchange,Date,greece
6.575621,0.4431512,20080629,15.4843255759
6.568364,0.4435923,20080630,13.8665602172
6.56954,0.4441315,20080701,14.3287788911
6.574102,0.4446428,20080702,14.559888228
6.580333,0.4451264,20080703,14.790997565
6.582076,0.4455827,20080704,12.7110135324
6.57858,0.4460123,20080705,13.4043415433
6.571033,0.4463765,20080706,14.559888228
6.567722,0.4466885,20080707,14.790997565
6.568774,0.4470131,20080708,14.559888228
6.57266,0.4473617,20080709,14.0976695541
6.577766,0.4478066,20080710,13.8665602172
6.58454,0.4483249,20080711,13.4043415433
6.583996,0.4488976,20080712,13.6354508802
6.578213,0.4495187,20080713,14.790997565
6.569252,0.4501784,20080714,15.9465442498
6.560663,0.4508148,20080715,16.6398722606
6.555704,0.451435,20080716,15.2532162389
6.55557,0.452032,20080717,14.0976695541
6.558084,0.4526043,20080718,14.3287788911
6.555178,0.4531508,20080719,14.0976695541
6.552405,0.4536848,20080720,15.7154349128
6.552943,0.4541617,20080721,15.7154349128
6.556653,0.4545222,20080722,15.9465442498
6.561258,0.4547523,20080723,15.0221069019
6.568169,0.4548937,20080724,15.4843255759
6.581264,0.4549617,20080725,13.1732322063
6.592456,0.4549697,20080726,15.4843255759
6.59965,0.4549671,20080727,15.0221069019
6.60236,0.4548545,20080728,15.0221069019
6.599421,0.4546353,20080729,13.8665602172
6.587745,0.4543512,20080730,14.3287788911
6.578231,0.4540032,20080731,14.559888228
6.570889,0.453607,20080801,14.0976695541
6.562278,0.4531757,20080802,13.1732322063
6.547487,0.4527215,20080803,14.790997565
6.536483,0.4521883,20080804,15.0221069019
6.527687,0.4515582,20080805,14.3287788911
6.513515,0.4508117,20080806,14.0976695541
6.488201,0.4497848,20080807,13.8665602172
6.468093,0.4485411,20080808,13.4043415433
6.437877,0.4471343,20080809,13.8665602172
6.390767,0.44555,20080810,17.1020909345
6.337063,0.4438024,20080811,14.790997565
6.296525,0.4419331,20080812,15.7154349128
6.253857,0.4399579,20080813,15.7154349128
6.213558,0.4378076,20080814,23.1109336953
6.167759,0.4355371,20080815,15.4843255759
6.111469,0.4331917,20080816,12.7110135324
6.055194,0.4308331,20080817,15.0221069019
6.012995,0.4284982,20080818,15.9465442498
5.974368,0.4261752,20080819,14.0976695541
5.955561,0.4240028,20080820,14.790997565
5.951187,0.4219236,20080821,13.1732322063
5.95645,0.4199406,20080822,12.0176855216
5.963746,0.4180554,20080823,11.5554668477
5.972043,0.4162702,20080824,13.4043415433
5.984235,0.4144869,20080825,14.0976695541
5.999518,0.4127393,20080826,13.6354508802
6.016312,0.4110388,20080827,13.4043415433
6.035682,0.4093825,20080828,12.9421228694
6.055296,0.4077786,20080829,11.7865761846
6.074122,0.4062331,20080830,11.7865761846
6.091656,0.4047505,20080831,14.790997565
6.110954,0.4032328,20080901,14.0976695541
6.131241,0.4016793,20080902,14.0976695541
6.143162,0.4000227,20080903,14.559888228
6.144219,0.3982385,20080904,13.8665602172
6.13696,0.3963688,20080905,13.4043415433
6.118837,0.3944484,20080906,12.4799041955
6.109434,0.3924028,20080907,15.2532162389
6.098055,0.3903093,20080908,14.790997565
6.09524,0.3880895,20080909,14.790997565
6.099669,0.3857317,20080910,15.0221069019
6.111115,0.3834513,20080911,12.9421228694
6.122837,0.3812565,20080912,13.1732322063
6.130291,0.379153,20080913,11.5554668477
6.134941,0.3771466,20080914,13.4043415433
6.141006,0.3752248,20080915,13.9070043512
6.149293,0.373433,20080916,13.7394500819
6.158365,0.3718812,20080917,13.236787274
6.17058,0.3705407,20080918,13.5718958126
6.181211,0.3693849,20080919,12.3990159275
6.186445,0.3683901,20080920,10.7234732346
6.183542,0.3677511,20080921,13.236787274
6.183292,0.3674336,20080922,13.4043415433
6.183159,0.3673242,20080923,13.0692330047
6.185256,0.3673761,20080924,12.7341244661
